nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-37057,UG,4 Years,2022-23,840
IR-E-C-37057,UG,4 Years,2021-22,720
IR-E-C-37057,UG,4 Years,2020-21,660
IR-E-C-37057,PG,2 Years,2023-24,45
IR-E-C-37057,PG,2 Years,2022-23,45
IR-E-C-37041,UG,4 Years,2023-24,540
IR-E-C-37041,UG,4 Years,2022-23,540
IR-E-C-37041,UG,4 Years,2021-22,420
IR-E-C-37041,UG,4 Years,2020-21,420
IR-E-C-37041,PG,2 Years,2023-24,18
IR-E-C-37041,PG,2 Years,2022-23,27
IR-E-C-37087,UG,4 Years,2024-25,750
IR-E-C-37087,UG,4 Years,2023-24,570
IR-E-C-37087,UG,4 Years,2022-23,300
IR-E-C-37087,UG,4 Years,2021-22,360
IR-E-C-37087,PG,2 Years,2024-25,84
IR-E-C-37087,PG,2 Years,2023-24,24
IR-E-C-37070,UG,4 Years,2023-24,720
IR-E-C-37070,UG,4 Years,2022-23,660
IR-E-C-37070,UG,4 Years,2021-22,660
IR-E-C-37070,UG,4 Years,2020-21,660
IR-E-C-37070,PG,2 Years,2023-24,90
IR-E-C-37070,PG,2 Years,2022-23,90
IR-E-C-36989,UG,4 Years,2023-24,540
IR-E-C-36989,UG,4 Years,2022-23,540
IR-E-C-36989,UG,4 Years,2021-22,540
IR-E-C-36989,UG,4 Years,2020-21,480
IR-E-C-36989,PG,2 Years,2023-24,18
IR-E-C-36989,PG,2 Years,2022-23,18
IR-E-C-37038,UG,4 Years,2023-24,360
IR-E-C-37038,UG,4 Years,2022-23,330
IR-E-C-37038,UG,4 Years,2021-22,330
IR-E-C-37038,UG,4 Years,2020-21,330
IR-E-C-37038,PG,2 Years,2023-24,12
IR-E-C-37038,PG,2 Years,2022-23,12
IR-E-C-16511,UG,4 Years,2023-24,420
IR-E-C-16511,UG,4 Years,2022-23,420
IR-E-C-16511,UG,4 Years,2021-22,420
IR-E-C-16511,UG,4 Years,2020-21,480
IR-E-C-16511,PG,2 Years,2023-24,33
IR-E-C-16511,PG,2 Years,2022-23,42
IR-E-C-37043,UG,4 Years,2022-23,300
IR-E-C-37043,UG,4 Years,2021-22,300
IR-E-C-37043,UG,4 Years,2020-21,300
IR-E-C-37043,UG,4 Years,2019-20,210
IR-E-C-37043,PG,2 Years,2022-23,27
IR-E-C-37043,PG,2 Years,2021-22,27
IR-E-C-37090,UG,4 Years,2023-24,360
IR-E-C-37090,UG,4 Years,2022-23,300
IR-E-C-37090,UG,4 Years,2021-22,300
IR-E-C-37090,UG,4 Years,2020-21,300
IR-E-C-37051,UG,4 Years,2023-24,420
IR-E-C-37051,UG,4 Years,2022-23,360
IR-E-C-37051,UG,4 Years,2021-22,390
IR-E-C-37051,UG,4 Years,2020-21,390
IR-E-C-37051,PG,2 Years,2023-24,144
IR-E-C-37051,PG,2 Years,2022-23,144
IR-E-C-37021,UG,4 Years,2023-24,360
IR-E-C-37021,UG,4 Years,2022-23,300
IR-E-C-37021,UG,4 Years,2021-22,300
IR-E-C-37021,UG,4 Years,2020-21,300
IR-E-C-36985,UG,4 Years,2023-24,360
IR-E-C-36985,UG,4 Years,2022-23,300
IR-E-C-36985,UG,4 Years,2021-22,270
IR-E-C-36985,UG,4 Years,2020-21,270
IR-E-C-36985,PG,2 Years,2023-24,36
IR-E-C-36985,PG,2 Years,2022-23,36
IR-E-C-36999,UG,4 Years,2023-24,900
IR-E-C-36999,UG,4 Years,2022-23,900
IR-E-C-36999,UG,4 Years,2021-22,900
IR-E-C-36999,UG,4 Years,2020-21,900
IR-E-C-36999,PG,2 Years,2023-24,63
IR-E-C-36999,PG,2 Years,2022-23,63
IR-E-C-37055,UG,4 Years,2022-23,690
IR-E-C-37055,UG,4 Years,2021-22,690
IR-E-C-37055,UG,4 Years,2020-21,750
IR-E-C-37055,UG,4 Years,2019-20,720
IR-E-C-37055,PG,2 Years,2022-23,54
IR-E-C-37055,PG,2 Years,2021-22,72
